City,City_ID,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind_speed,Country,Date
La Carolina,2516088,38.28,-3.62,50.0,81,100,3.09,ES,2020-01-30 02:09:25
Bluff,2206939,-46.6,168.33,72.0,50,100,14.0,NZ,2020-01-30 02:09:25
Kaitangata,2208248,-46.28,169.85,71.01,42,100,17.0,NZ,2020-01-30 02:09:26
Port Elizabeth,964420,-33.92,25.57,64.4,88,90,2.24,ZA,2020-01-30 02:06:07
Rocky Mountain House,6126749,52.37,-114.92,28.53,80,100,3.56,CA,2020-01-30 02:09:26
Kattivakkam,1267433,13.22,80.32,74.05,94,40,6.17,IN,2020-01-30 02:09:26
Mettur,1263101,11.8,77.8,72.16,67,0,2.93,IN,2020-01-30 02:09:27
Mataura,6201424,-46.19,168.86,72.0,50,70,14.0,NZ,2020-01-30 02:09:27
Araouane,2460954,18.9,-3.53,67.35,21,0,13.51,ML,2020-01-30 02:06:19
Taltal,3870243,-25.4,-70.48,62.1,88,0,2.71,CL,2020-01-30 02:09:27
Codrington,2171099,-38.27,141.97,76.53,44,0,8.48,AU,2020-01-30 02:09:28
Merritt,6072350,50.11,-120.79,48.2,57,40,21.92,CA,2020-01-30 02:09:28
Bredasdorp,1015776,-34.53,20.04,64.22,68,100,13.78,ZA,2020-01-30 02:09:28
Tabou,2281120,4.42,-7.35,78.26,92,69,2.13,CI,2020-01-30 02:09:28
Coswig,2939820,51.13,13.58,37.18,74,75,11.41,DE,2020-01-30 02:09:29
Kodiak,5866583,57.79,-152.41,19.4,85,90,10.29,US,2020-01-30 02:09:29
Camacha,2270385,33.08,-16.33,59.0,72,20,4.7,PT,2020-01-30 02:09:29
Mar del Plata,3430863,-38.0,-57.56,58.28,62,5,4.7,AR,2020-01-30 02:05:11
Dunedin,2191562,-45.87,170.5,66.0,68,78,21.0,NZ,2020-01-30 02:07:48
Hermanus,3366880,-34.42,19.23,63.12,81,0,5.99,ZA,2020-01-30 02:09:16
Masuguru,878054,-11.37,38.42,72.32,98,39,2.28,TZ,2020-01-30 02:09:30
Yerbogachen,2012956,61.28,108.01,1.58,93,0,7.45,RU,2020-01-30 02:09:30
Norman Wells,6089245,65.28,-126.83,-22.0,67,75,9.17,CA,2020-01-30 02:09:30
Alice Springs,2077895,-23.7,133.88,82.4,74,75,19.46,AU,2020-01-30 02:09:30
Okhotsk,2122605,59.38,143.3,-8.1,71,0,7.49,RU,2020-01-30 02:09:31
Hobart,2163355,-42.88,147.33,89.65,50,0,21.92,AU,2020-01-30 02:06:41
Lavrentiya,4031637,65.58,-171.0,-13.0,71,0,11.21,RU,2020-01-30 02:09:31
Lamu,189741,-2.27,40.9,81.03,83,92,13.44,KE,2020-01-30 02:09:31
Ibra,287832,22.69,58.53,56.55,70,0,0.51,OM,2020-01-30 02:09:32
Adrar,2381972,20.5,-10.07,66.4,18,100,11.79,MR,2020-01-30 02:09:32
Cabo San Lucas,3985710,22.89,-109.91,67.84,72,75,11.41,MX,2020-01-30 02:09:32
Kurumkan,2021188,54.3,110.3,5.0,88,22,1.16,RU,2020-01-30 02:09:32
Poum,2138555,-20.23,164.02,78.78,77,0,16.37,NC,2020-01-30 02:09:32
Barrow,5880054,71.29,-156.79,-23.8,74,1,8.05,US,2020-01-30 02:05:21
San Rafael,3836669,-34.62,-68.33,69.89,34,1,7.99,AR,2020-01-30 02:06:01
Saldanha,3361934,-33.01,17.94,60.8,72,0,4.7,ZA,2020-01-30 02:09:33
Antofagasta,3899539,-23.65,-70.4,71.04,77,20,11.41,CL,2020-01-30 02:09:10
Mombetsu,2129163,44.35,143.35,30.2,100,75,9.17,JP,2020-01-30 02:09:34
Iquique,3887127,-20.22,-70.14,75.2,64,0,13.87,CL,2020-01-30 02:09:10
Hope,4115181,33.67,-93.59,46.65,87,90,3.36,US,2020-01-30 02:09:34
Canchungo,2373951,12.07,-16.03,73.4,88,100,2.24,GW,2020-01-30 02:09:34
Salalah,286621,17.02,54.09,64.4,52,81,4.7,OM,2020-01-30 02:09:35
Butaritari,2110227,3.07,172.79,84.92,73,60,8.16,KI,2020-01-30 02:09:35
Elk,772621,53.83,22.36,32.61,97,79,11.39,PL,2020-01-30 02:09:35
Guerrero Negro,4021858,27.98,-114.06,59.31,76,15,15.32,MX,2020-01-30 02:09:35
Rikitea,4030556,-23.12,-134.97,79.39,72,100,6.96,PF,2020-01-30 02:09:17
Zhigansk,2012530,66.77,123.37,-11.02,92,100,11.1,RU,2020-01-30 02:09:36
Korla,1529376,41.76,86.15,30.0,83,0,1.48,CN,2020-01-30 02:09:36
Cherskiy,2126199,68.75,161.3,-24.88,96,98,7.52,RU,2020-01-30 02:09:36
Paamiut,3421193,61.99,-49.67,7.21,50,0,8.08,GL,2020-01-30 02:08:43
Kuldur,2021370,49.22,131.63,9.66,85,0,3.76,RU,2020-01-30 02:09:36
Birao,240210,10.28,22.79,61.9,13,0,13.6,CF,2020-01-30 02:09:37
Broome,5110365,42.25,-75.83,16.93,92,90,3.02,US,2020-01-30 02:09:37
Pontes e Lacerda,3453060,-15.23,-59.34,73.47,87,50,3.15,BR,2020-01-30 02:09:37
Acapulco de Juarez,3533462,16.86,-99.89,80.6,65,75,6.93,MX,2020-01-30 02:09:37
Ust-Nera,2120048,64.57,143.2,-34.69,96,99,3.0,RU,2020-01-30 02:09:37
Chuncheng,6646308,22.17,111.79,60.49,51,0,9.69,CN,2020-01-30 02:09:38
Kindu,212902,-2.95,25.95,69.55,92,100,1.99,CD,2020-01-30 02:09:38
Shimoda,1852357,34.67,138.95,56.46,62,20,19.46,JP,2020-01-30 02:09:38
La Tuque,6050416,47.43,-72.78,-2.56,92,0,3.51,CA,2020-01-30 02:09:38
Lazarev,2123836,52.23,141.51,0.5,88,0,3.74,RU,2020-01-30 02:09:38
Portland,5746545,45.52,-122.68,46.29,87,90,4.7,US,2020-01-30 02:09:19
Vaini,4032243,-21.2,-175.2,86.0,79,40,9.17,TO,2020-01-30 02:09:39
Shamkhal,495893,43.06,47.34,35.38,93,40,4.47,RU,2020-01-30 02:09:39
Kirovskaya,548390,46.97,40.04,46.4,87,40,20.13,RU,2020-01-30 02:09:39
Sumbawanga,149703,-7.97,31.62,56.7,97,100,2.08,TZ,2020-01-30 02:09:40
Fort Abbas,1179223,29.19,72.85,52.99,64,0,8.19,PK,2020-01-30 02:09:40
Tunduma,149402,-9.3,32.77,61.25,98,100,3.09,TZ,2020-01-30 02:09:40
Thompson,6165406,55.74,-97.86,15.8,92,90,5.82,CA,2020-01-30 02:09:40
Nome,5870133,64.5,-165.41,-4.86,44,1,3.36,US,2020-01-30 02:09:40
Clyde River,5924351,70.47,-68.59,-18.4,68,40,10.29,CA,2020-01-30 02:09:41
Yuanping,1786060,38.72,112.76,25.43,67,0,3.94,CN,2020-01-30 02:09:41
Dikson,1507390,73.51,80.55,-17.27,98,78,7.02,RU,2020-01-30 02:09:41
Puerto Ayora,3652764,-0.74,-90.35,77.0,27,52,1.01,EC,2020-01-30 02:09:42
Goalpara,1271151,26.17,90.62,64.72,62,64,3.96,IN,2020-01-30 02:09:42
Bambous Virieux,1106677,-20.34,57.76,74.59,83,40,4.99,MU,2020-01-30 02:09:42
Atuona,4020109,-9.8,-139.03,80.92,77,0,14.61,PF,2020-01-30 02:09:42
Faanui,4034551,-16.48,-151.75,82.47,72,99,7.4,PF,2020-01-30 02:05:29
New Norfolk,2155415,-42.78,147.06,88.9,27,0,21.92,AU,2020-01-30 02:09:43
Fairbanks,5861897,64.84,-147.72,-14.13,75,90,5.68,US,2020-01-30 02:09:43
Vila,7117100,42.03,-8.16,54.61,93,90,17.22,PT,2020-01-30 02:09:43
Krutinka,1501690,56.01,71.51,-12.86,95,26,7.7,RU,2020-01-30 02:09:43
Tasiilaq,3424607,65.61,-37.64,28.4,68,91,34.45,GL,2020-01-30 02:05:42
Longyan,1802276,25.11,117.02,50.02,38,0,3.69,CN,2020-01-30 02:09:44
Esperance,2071860,-33.87,121.9,69.8,73,90,6.93,AU,2020-01-30 02:09:44
Fortuna,5563839,40.6,-124.16,54.16,81,90,2.04,US,2020-01-30 02:05:28
Hithadhoo,1282256,-0.6,73.08,81.25,78,67,14.72,MV,2020-01-30 02:09:45
Mana,3381041,5.66,-53.78,73.49,95,19,2.77,GF,2020-01-30 02:06:05
Marawi,1701054,8.0,124.29,82.0,79,74,7.0,PH,2020-01-30 02:09:45
Pisco,3932145,-13.7,-76.22,72.18,94,90,13.87,PE,2020-01-30 02:09:45
Alugan,1731248,12.22,125.48,81.32,72,100,6.53,PH,2020-01-30 02:09:46
Ixtapa,4004293,20.7,-105.2,75.65,69,90,1.19,MX,2020-01-30 02:05:38
Mount Gambier,2156643,-37.83,140.77,98.6,9,0,17.22,AU,2020-01-30 02:09:47
Sao Filipe,3374210,14.9,-24.5,70.43,77,0,9.24,CV,2020-01-30 02:09:48
Xinyang,1788534,32.12,114.07,44.91,57,0,2.66,CN,2020-01-30 02:09:48
Takaka,2181997,-40.85,172.8,77.36,63,61,5.99,NZ,2020-01-30 02:09:48
Geraldton,2070998,-28.77,114.6,73.4,56,75,18.34,AU,2020-01-30 02:07:32
Basoko,219414,1.24,23.62,74.61,49,60,2.57,CD,2020-01-30 02:09:48
Naze,1855540,28.37,129.48,56.19,76,75,34.45,JP,2020-01-30 02:09:49
Sibu,1735902,2.3,111.82,80.38,88,75,3.36,MY,2020-01-30 02:09:49
Hamilton,4513583,39.18,-84.53,32.76,80,90,4.7,US,2020-01-30 02:07:57
Laas,3175096,46.62,10.7,24.76,92,31,3.36,IT,2020-01-30 02:09:49
Meulaboh,1214488,4.14,96.13,79.29,78,38,5.86,ID,2020-01-30 02:09:50
Arraial do Cabo,3471451,-22.97,-42.03,80.6,88,71,5.82,BR,2020-01-30 02:09:50
Plouzane,2986626,48.38,-4.62,51.57,100,90,17.22,FR,2020-01-30 02:09:50
Gizo,2108857,-8.1,156.84,83.73,72,100,8.77,SB,2020-01-30 02:09:50
Sumkino,1490655,58.11,68.32,-16.71,97,56,2.21,RU,2020-01-30 02:09:50
Ancud,3899695,-41.87,-73.82,50.0,76,98,5.82,CL,2020-01-30 02:09:51
Andros Town,3572906,24.7,-77.77,70.95,94,75,8.05,BS,2020-01-30 02:09:51
Severodvinsk,496285,64.56,39.83,-9.4,76,40,6.71,RU,2020-01-30 02:09:51
Beringovskiy,2126710,63.05,179.32,-3.82,100,83,9.64,RU,2020-01-30 02:09:51
Kamen'-na-Obi,1504871,53.79,81.34,-18.09,98,89,4.92,RU,2020-01-30 02:09:52
Denpasar,1645528,-8.65,115.22,86.0,89,20,8.05,ID,2020-01-30 02:09:04
Nicoya,3622716,10.15,-85.45,75.76,88,75,5.82,CR,2020-01-30 02:09:52
Inhambane,1045114,-23.86,35.38,76.75,67,0,8.23,MZ,2020-01-30 02:09:52
Fukuecho,1863997,32.69,128.84,45.23,93,75,10.29,JP,2020-01-30 02:09:53
Cururupu,3401148,-1.83,-44.87,74.73,95,100,1.59,BR,2020-01-30 02:09:53
Banda Aceh,1215502,5.56,95.32,81.05,69,95,6.33,ID,2020-01-30 02:09:53
Dubovskoye,564593,47.41,42.76,40.03,87,100,13.6,RU,2020-01-30 02:09:54
Sambava,1056899,-14.27,50.17,74.79,82,100,1.77,MG,2020-01-30 02:09:54
Dudinka,1507116,69.41,86.18,-16.6,75,75,2.24,RU,2020-01-30 02:09:54
Luanda,2240449,-8.84,13.23,77.0,88,75,5.82,AO,2020-01-30 02:09:54
Cuamba,1047660,-14.8,36.54,68.9,98,100,1.92,MZ,2020-01-30 02:09:55
Perundurai,1259855,11.27,77.58,69.8,83,20,1.39,IN,2020-01-30 02:09:55
Presidencia Roque Saenz Pena,3840300,-26.79,-60.44,71.58,91,100,3.62,AR,2020-01-30 02:09:55
Saint-Leu,6690297,-21.15,55.28,68.94,68,19,8.05,RE,2020-01-30 02:09:55
Castro,3466704,-24.79,-50.01,66.25,98,100,2.39,BR,2020-01-30 02:09:55
Bud,4255151,39.45,-86.18,32.74,84,90,3.36,US,2020-01-30 02:09:56
Alofi,4036284,-19.06,-169.92,86.0,79,75,3.36,NU,2020-01-30 02:09:56
Andrushivka,713389,50.02,29.02,32.81,96,100,18.86,UA,2020-01-30 02:09:56
Lagunas,3695844,-5.23,-75.68,78.57,73,56,0.38,PE,2020-01-30 02:09:56
Upernavik,3418910,72.79,-56.15,-14.1,92,78,4.7,GL,2020-01-30 02:05:31
Idappadi,1269819,11.58,77.85,72.48,70,71,2.68,IN,2020-01-30 02:09:57
Hong Kong,1819729,22.29,114.16,56.34,30,0,18.34,HK,2020-01-30 02:09:06
Talnakh,1490256,69.49,88.4,-16.6,75,75,2.24,RU,2020-01-30 02:05:34
Batsfjord,780717,70.63,29.72,3.94,81,96,10.07,NO,2020-01-30 02:09:57
Mahibadhoo,1337605,3.78,72.97,80.29,76,2,13.29,MV,2020-01-30 02:09:57
Zimovniki,462522,47.15,42.46,41.59,83,100,15.82,RU,2020-01-30 02:09:58
Longyearbyen,2729907,78.22,15.64,21.2,62,40,11.41,SJ,2020-01-30 02:09:58
Comodoro Rivadavia,3860443,-45.87,-67.5,69.8,26,100,17.22,AR,2020-01-30 02:07:48
Pala,2426240,9.36,14.9,62.73,12,33,6.26,TD,2020-01-30 02:09:58
Ribeira Grande,3372707,38.52,-28.7,60.78,91,100,18.37,PT,2020-01-30 02:05:49
Kambove,923058,-10.88,26.6,62.31,97,100,7.56,CD,2020-01-30 02:09:59
Husavik,2629833,66.04,-17.34,28.4,92,90,2.24,IS,2020-01-30 02:05:26
Faya,110690,18.39,42.45,49.06,93,5,2.98,SA,2020-01-30 02:06:17
Acari,3948613,-15.43,-74.62,67.73,87,70,4.0,PE,2020-01-30 02:10:00
Atar,2381334,20.52,-13.05,69.35,19,100,13.47,MR,2020-01-30 02:10:00
Mbarara,229268,-0.61,30.65,61.99,82,100,0.85,UG,2020-01-30 02:10:00
Sao Felix do Xingu,3388847,-6.64,-51.99,70.72,99,87,1.01,BR,2020-01-30 02:10:01
San Miguelito,3701329,9.03,-79.5,81.14,74,40,3.36,PA,2020-01-30 02:10:01
High Level,5975004,58.52,-117.14,24.8,100,75,6.51,CA,2020-01-30 02:10:01
Kutum,371745,14.2,24.67,43.21,21,28,3.56,SD,2020-01-30 02:10:01
Sechura,3691954,-5.56,-80.82,73.78,83,40,10.96,PE,2020-01-30 02:10:01
Aloleng,1731298,16.13,119.78,79.09,64,55,13.24,PH,2020-01-30 02:10:03
Otorohanga,2185245,-38.18,175.2,80.33,60,32,7.0,NZ,2020-01-30 02:10:03
Luderitz,3355672,-26.65,15.16,63.7,91,0,20.78,NA,2020-01-30 02:10:03
Nikolskoye,546105,59.7,30.79,29.73,100,90,13.42,RU,2020-01-30 02:10:04
Matagami,6067747,49.75,-77.63,-7.6,83,1,3.44,CA,2020-01-30 02:10:04
Hammerfest,779683,70.66,23.68,17.6,72,85,38.03,NO,2020-01-30 02:10:04
La Ronge,6050066,55.1,-105.28,23.0,92,90,14.99,CA,2020-01-30 02:10:04
Belmonte,3470137,-15.86,-38.88,78.8,83,0,9.17,BR,2020-01-30 02:10:04
Viedma,3832899,-40.81,-63.0,55.42,43,1,8.63,AR,2020-01-30 02:10:05
Aklavik,5882953,68.22,-135.01,-20.2,68,90,8.05,CA,2020-01-30 02:10:05
Chui,3443061,-33.7,-53.46,68.76,85,0,7.09,UY,2020-01-30 02:05:34
Avarua,4035715,-21.21,-159.78,82.4,78,6,1.12,CK,2020-01-30 02:05:26
Ntcheu,924492,-14.82,34.64,62.96,98,100,4.47,MW,2020-01-30 02:10:06
Tual,1623197,-5.67,132.75,85.44,73,100,17.29,ID,2020-01-30 02:10:06
Sven,485785,53.18,34.55,34.29,97,100,11.81,RU,2020-01-30 02:10:06
Port Alfred,964432,-33.59,26.89,66.99,87,100,5.88,ZA,2020-01-30 02:10:07
Westport,4845585,41.14,-73.36,29.97,61,1,6.93,US,2020-01-30 02:07:59
Port Macquarie,2152659,-31.43,152.92,86.76,61,40,10.29,AU,2020-01-30 02:07:38
Pacific Grove,5380437,36.62,-121.92,54.34,62,1,9.17,US,2020-01-30 02:10:07
Taitung City,6949678,22.76,121.14,62.6,59,75,9.17,TW,2020-01-30 02:10:07
Bethel,5282297,41.37,-73.41,28.74,50,1,4.7,US,2020-01-30 02:09:33
Ambon,1651531,-3.7,128.18,93.2,49,20,13.87,ID,2020-01-30 02:10:08
Kumul,1529484,42.8,93.45,9.97,78,0,2.53,CN,2020-01-30 02:10:08
Khatanga,2022572,71.97,102.5,-15.86,98,92,2.62,RU,2020-01-30 02:10:08
Pimenta Bueno,3924908,-11.67,-61.19,71.56,96,98,0.31,BR,2020-01-30 02:10:08
Balabac,1728675,7.99,117.06,82.6,67,100,13.31,PH,2020-01-30 02:08:46
Prince Rupert,6113406,54.32,-130.32,41.0,80,90,10.29,CA,2020-01-30 02:08:21
Provideniya,4031574,64.38,-173.3,-4.0,53,0,4.47,RU,2020-01-30 02:10:09
Reconquista,3429594,-29.15,-59.65,69.73,93,100,9.46,AR,2020-01-30 02:10:09
Saint-Philippe,935215,-21.36,55.77,68.94,68,17,8.05,RE,2020-01-30 02:10:09
Verkhnyaya Inta,1487332,65.98,60.31,-14.71,98,94,3.6,RU,2020-01-30 02:10:10
Eureka,5563397,40.8,-124.16,54.21,81,90,1.9,US,2020-01-30 02:10:10
Colares,2269142,38.8,-9.45,56.93,100,75,8.05,PT,2020-01-30 02:10:10
Taoudenni,2450173,22.68,-3.98,59.34,25,0,9.95,ML,2020-01-30 02:10:10
Orocue,3673536,4.79,-71.34,82.98,47,16,5.64,CO,2020-01-30 02:10:11
Barmer,1276901,25.75,71.38,59.31,30,0,8.61,IN,2020-01-30 02:10:11
Bonavista,5905393,48.65,-53.11,28.99,87,100,1.99,CA,2020-01-30 02:06:04
Santa Isabel do Rio Negro,3662489,-0.41,-65.02,77.07,86,52,1.3,BR,2020-01-30 02:10:12
Tuatapere,2180815,-46.13,167.68,72.0,50,34,14.0,NZ,2020-01-30 02:06:08
Saint George,5546220,37.1,-113.58,40.69,64,1,8.05,US,2020-01-30 02:10:12
Pevek,2122090,69.7,170.31,-18.47,97,100,6.91,RU,2020-01-30 02:10:12
Vardo,777019,70.37,31.11,21.72,66,100,21.7,NO,2020-01-30 02:10:13
Loa Janan,1637510,-0.58,117.09,88.56,61,99,4.32,ID,2020-01-30 02:10:13
Cape Canaveral,4149959,28.41,-80.6,63.36,88,20,8.05,US,2020-01-30 02:10:13
Qaanaaq,3831208,77.48,-69.36,-19.32,95,100,1.34,GL,2020-01-30 02:10:13
Iskateley,866062,67.68,53.15,-15.29,98,86,4.25,RU,2020-01-30 02:06:07
Tigil,2120612,57.8,158.67,15.73,91,98,11.12,RU,2020-01-30 02:10:14
Zhaodong,2033168,46.08,125.98,9.1,83,0,2.24,CN,2020-01-30 02:10:14
Mairang,1264285,25.57,91.63,59.0,93,75,5.7,IN,2020-01-30 02:10:14
Anadyr,2127202,64.75,177.48,-7.31,76,40,2.24,RU,2020-01-30 02:10:15
Aborlan,1732385,9.44,118.55,86.0,62,20,11.41,PH,2020-01-30 02:10:15
Kempele,653253,64.92,25.58,21.11,92,90,10.29,FI,2020-01-30 02:10:15
Sadon,525990,42.85,44.0,29.26,67,94,7.29,RU,2020-01-30 02:10:15
Bekhtery,712682,46.25,32.29,35.01,99,52,11.39,UA,2020-01-30 02:10:15
Saskylakh,2017155,71.92,114.08,-15.14,98,92,2.82,RU,2020-01-30 02:10:16
Bubaque,2374583,11.28,-15.83,77.16,73,100,10.07,GW,2020-01-30 02:10:16
Sitka,5557293,57.05,-135.33,35.49,68,90,3.36,US,2020-01-30 02:10:16
Bandarbeyla,64814,9.49,50.81,74.17,67,100,16.44,SO,2020-01-30 02:10:16
Souillac,933995,-20.52,57.52,74.61,83,40,2.53,MU,2020-01-30 02:10:17
Plettenberg Bay,964712,-34.05,23.37,62.98,84,32,4.72,ZA,2020-01-30 02:10:18
Angicos,3407544,-5.67,-36.6,78.51,76,15,10.58,BR,2020-01-30 02:10:18
Nan,1608451,18.83,100.67,55.4,87,0,3.36,TH,2020-01-30 02:10:18
Yellowknife,6185377,62.46,-114.35,15.28,92,90,10.29,CA,2020-01-30 02:10:19
San Patricio,3985168,19.22,-104.7,82.4,69,75,4.38,MX,2020-01-30 02:10:19
Zhuhai,1790437,22.28,113.57,56.12,58,0,20.8,CN,2020-01-30 02:10:19
Miyako,2111884,39.64,141.95,44.2,75,56,5.32,JP,2020-01-30 02:10:19
Butka,1508589,56.72,63.79,-3.69,92,92,6.46,RU,2020-01-30 02:10:19
Mahebourg,934322,-20.41,57.7,74.61,83,40,2.53,MU,2020-01-30 02:10:20
Yablochnyy,2119640,47.17,142.07,23.0,85,90,13.42,RU,2020-01-30 02:10:24
Vila Velha,3445026,-20.33,-40.29,78.91,88,20,10.29,BR,2020-01-30 02:07:39
Tromso,6453316,69.65,18.96,14.9,73,100,27.51,NO,2020-01-30 02:10:24
Dubbo,2168305,-32.25,148.62,96.8,32,0,6.93,AU,2020-01-30 02:10:24
Leningradskiy,2123814,69.38,178.42,-14.84,95,99,11.52,RU,2020-01-30 02:10:25
Camopi,3382226,3.17,-52.32,71.83,99,83,2.44,GF,2020-01-30 02:10:25
Muros,3115824,42.78,-9.06,57.07,93,75,14.99,ES,2020-01-30 02:10:25
Lagoa,3372964,39.05,-27.98,62.76,87,100,16.75,PT,2020-01-30 02:10:25
Bouar,2387926,5.93,15.6,68.47,16,100,6.91,CF,2020-01-30 02:10:26
Torbay,6167817,47.67,-52.73,29.03,92,90,9.17,CA,2020-01-30 02:06:38
Tet,3043946,47.52,17.51,34.65,80,57,6.93,HU,2020-01-30 02:10:26
Moissac,2993586,44.1,1.09,48.51,87,90,5.82,FR,2020-01-30 02:10:26
Carnarvon,2074865,-24.87,113.63,77.0,65,90,19.46,AU,2020-01-30 02:10:26
Rio Branco do Sul,3451242,-25.19,-49.31,68.61,88,75,10.29,BR,2020-01-30 02:10:27
Aripuana,3665202,-9.17,-60.63,74.48,97,100,1.21,BR,2020-01-30 02:10:27
Chumikan,2025256,54.72,135.31,8.56,68,0,1.81,RU,2020-01-30 02:10:27
Pangnirtung,6096551,66.15,-65.71,-16.58,74,100,1.79,CA,2020-01-30 02:10:27
Bushtyno,711105,48.05,23.49,33.93,97,100,6.93,UA,2020-01-30 02:10:28
Camacupa,3351014,-12.02,17.48,62.1,96,100,0.34,AO,2020-01-30 02:10:28
Aksarka,1512019,66.56,67.8,-15.66,100,99,1.88,RU,2020-01-30 02:10:28
Yulara,6355222,-25.24,130.99,89.6,43,75,13.87,AU,2020-01-30 02:10:28
Dingtao,1812754,35.07,115.56,43.81,49,0,6.2,CN,2020-01-30 02:10:29
Addanki,1279356,15.82,79.98,75.65,77,0,1.97,IN,2020-01-30 02:10:29
Nemuro,2128975,43.32,145.57,32.0,95,90,20.8,JP,2020-01-30 02:10:29
Atambua,1651103,-9.11,124.89,84.7,68,87,7.05,ID,2020-01-30 02:10:29
OErnskoeldsvik,2686469,63.29,18.72,31.8,100,100,6.93,SE,2020-01-30 02:10:30
Sao Gabriel da Cachoeira,3662342,-0.13,-67.09,75.09,94,100,0.81,BR,2020-01-30 02:10:30
Severomuysk,2016907,56.15,113.43,3.6,93,100,1.86,RU,2020-01-30 02:10:30
Kaeo,2189343,-35.1,173.78,82.74,67,1,5.99,NZ,2020-01-30 02:10:30
Santa Vitoria do Palmar,3449747,-33.52,-53.37,68.76,85,0,7.09,BR,2020-01-30 02:10:31
